hnit	வினையெச்சம்
hnak	நியமிக்கும்வழக்கு
hkak	வேற்றுமையைவழக்கு
htak	தலைப்புவழக்கு
hpap	அப்பா
hmam	அம்மா
hyat	பெற்றோர்
hcan	வணக்கம்
hwik	விளிவேற்றுமையில்வழக்கு
hsuc	மூதாதையர்
htat	தாத்தாபாட்டி
hcac	பசி
hnik	ஆறாம்வேற்றுமைவழக்கு
hcit	பெயரடை
hwan	மற்றும்
hman	என்னை
hnan	நீங்கள்
hwam	எங்களுக்கு
htit	அது
htac	இலக்குவழக்கு
htik	dativeவழக்கு
hyit	உண்மையானமனநிலை
htim	deonticமனநிலை
hcut	நிபந்தனைமனநிலை
hsit	அறிவுசார்மனநிலை
hyak	கருவியாகவழக்கு
htan	உள்துறைசூழல்
hpan	நபர்சூழல்
htin	சுயாதீனஉட்கூறு
hyan	சார்ந்துஉட்கூறு
hfap	குறைவின்மைஅம்சம்
hkat	கடந்தபதட்டமான
hnin	ஆண்பால்பாலினம்
hmak	comitativeவழக்கு
hnat	தற்போதையபதட்டமான
hpak	benefactiveவழக்கு
swik	essiveவழக்கு
htut	மறுக்கிறஅளவீட்டுருவிற்கு
hsan	மேற்பரப்பில்சூழல்
hpin	adpositionalவழக்கு
hwin	இடம்வழக்கு
hkan	விண்வெளிசூழல்
hnac	வழிவழக்கு
hyut	கேள்விக்குரியமனநிலை
hnam	மற்றும்அல்லது
hkit	பிரத்தியேகஅல்லது
hsuk	மூலவழக்கு
hpik	நீக்குவதற்கானவழக்கு
hcat	அருகாமையில்
hmat	வெளிப்படுத்துகிறது
hkuk	உட்கூறுவால்
hlan	ஆனாலும்
hsut	அனைத்து
hyin	உலகளாவியஅளவீட்டுருவிற்கு
hcin	பெண்மையைபாலினம்
hpac	பன்மைஎண்
hyik	ஒரு
htic	தங்கள்
hkik	யார்
tcat	எதிர்காலபதட்டமான
hsin	சமூகசூழல்
hkac	எப்பொழுது
hmip	imperfectiveஅம்சம்
klan	அங்கு
hlak	உறவினர்வழக்கு
hlik	அனுமானம்வழக்கு
htam	உத்தரவுமனநிலை
hlat	தேர்தல்அளவீட்டுருவிற்கு
hkam	என்ன
hwat	கேள்விவார்த்தை
htap	இடைச்சொல்
hpat	நபர்
nyan	ஆண்
hkas	முடிந்த
tcan	மற்ற
hnuc	எண்
twit	உறுதியானஅளவீட்டுருவிற்கு
hsak	நேரம்சூழல்
htuk	உலகியல்வழக்கு
htun	மட்டுமே
htum	hortativeமனநிலை
