ni	வினையெச்சம்
na	நியமிக்கும்வழக்கு
ka	வேற்றுமையைவழக்கு
ta	தலைப்புவழக்கு
ca	வணக்கம்
wu	விளிவேற்றுமையில்வழக்கு
kcah	பசி
ti	ஆறாம்வேற்றுமைவழக்கு
ci	பெயரடை
wa	மற்றும்
mi	என்னை
sa	நீங்கள்
nyah	எங்களுக்கு
ya	அது
ma	இலக்குவழக்கு
yi	dativeவழக்கு
li	உண்மையானமனநிலை
tu	deonticமனநிலை
cu	நிபந்தனைமனநிலை
si	அறிவுசார்மனநிலை
yu	கருவியாகவழக்கு
nu	உள்துறைசூழல்
pa	நபர்சூழல்
tyah	சுயாதீனஉட்கூறு
la	சார்ந்துஉட்கூறு
fa	குறைவின்மைஅம்சம்
ki	கடந்தபதட்டமான
ne	ஆண்பால்பாலினம்
mwah	comitativeவழக்கு
ra	தற்போதையபதட்டமான
pwah	benefactiveவழக்கு
swih	essiveவழக்கு
no	மறுக்கிறஅளவீட்டுருவிற்கு
pi	மேற்பரப்பில்சூழல்
da	adpositionalவழக்கு
te	இடம்வழக்கு
to	விண்வெளிசூழல்
ga	வழிவழக்கு
ri	கேள்விக்குரியமனநிலை
ba	மற்றும்அல்லது
ku	பிரத்தியேகஅல்லது
so	மூலவழக்கு
pwih	நீக்குவதற்கானவழக்கு
ksah	அருகாமையில்
tsah	வெளிப்படுத்துகிறது
ko	உட்கூறுவால்
pyah	ஆனாலும்
wi	உலகளாவியஅளவீட்டுருவிற்கு
ji	பெண்மையைபாலினம்
pu	பன்மைஎண்
bi	எதிர்காலபதட்டமான
co	சமூகசூழல்
me	imperfectiveஅம்சம்
klah	அங்கு
twah	உறவினர்வழக்கு
twih	அனுமானம்வழக்கு
di	உத்தரவுமனநிலை
tlah	தேர்தல்அளவீட்டுருவிற்கு
kyah	என்ன
tcah	கேள்விவார்த்தை
ja	இடைச்சொல்
cyah	நபர்
clah	மற்ற
do	எண்
tlih	உறுதியானஅளவீட்டுருவிற்கு
se	நேரம்சூழல்
myah	உலகியல்வழக்கு
tyuh	மட்டுமே
tcih	hortativeமனநிலை
tyih	சுயபரிசோதனைஅம்சம்
lo	volitiveமனநிலை
cwah	பின்னர்
nlah	உடைமைமாற்றத்உடைமை
nlih	மாற்றமுடியாதஉடைமை
cyih	deliberativeமனநிலை
lwah	perlativeவழக்கு
pfih	முற்போக்கானஅம்சம்
tsih	இங்கே
ce	கீழ்சூழல்
pcah	மேலும்
