hnit	infinitive
hnak	ករណីនាមនិទ្ទេស
hkak	ករណីកម្មការកៈ
htak	ករណីប្រធានបទ
hpap	ឪពុក
hmam	ម្តាយ
hyat	មាតាបិតា
hcan	ជំរាបសួរ
hwik	ករណីvocative
hsuc	បុព្វបុរស
htat	ជីដូនឬជីតា
hcac	ឃ្លាន
hnik	ករណីប្រដាប់បន្តពូជ
hcit	គុណនាម
hwan	និង
hman	អោយខ្ញុំ
hnan	អ្នក
hwam	ពួកយើង
htit	វា
htac	ករណីគោលដៅ
htik	ករណីសម្បតានការកៈ
hyit	អារម្មណ៍ពិតប្រាកដ
htim	អារម្មណ៍deontic
hcut	អារម្មណ៍លក្ខខណ្ឌ
hsit	អារម្មណ៍epistemic
hyak	ករណីឧបករណ៍
htan	បរិបទមហាផ្ទៃ
hpan	បរិបទមនុស្សម្នាក់
htin	ឃ្លាឯករាជ្យ
hyan	ឃ្លាពឹងផ្អែក
hfap	ទិដ្ឋភាពល្អឥតខ្ចោះ
hkat	អតីតកាល
hnin	យែនឌ័របុរស
hmak	ករណីcomitative
hnat	បច្ចុប្បន្ន​កាល
hpak	ករណីbenefactive
swik	ករណីessive
htut	កម្រិតnegatory
hsan	បរិបទផ្ទៃ
hpin	ករណីadpositional
hwin	ករណីទីតាំង
hkan	បរិបទអវកាស
hnac	ករណីវិធី
hyut	អារម្មណ៍សួរចម្លើយ
hnam	និងឬ
hkit	ផ្តាច់មុខឬ
hsuk	ករណីប្រភព
hpik	ករណីablative
hcat	ជិត
hmat	ង្ហេញ
hkuk	កន្ទុយឃ្លា
hlan	ប៉ុន្តែ
hsut	ទាំងអស់
hyin	កម្រិតចំនួនសកល
hcin	យែនឌ័រស្រី
hpac	ចំនួនពហុវចនៈ
hyik	មួយ
htic	របស់ខ្លួន
hkik	ដែល
tcat	អនាគតកាល
hsin	បរិបទសង្គម
hkac	ពេលណា​
hmip	ទិដ្ឋភាពភាពមិនល្អឥតខ្ចោះ
klan	មាន
hlak	ករណីelative
hlik	ករណីillative
htam	អារម្មណ៍សារាចរ
hlat	កម្រិតជ្រើសតាំង
hkam	អ្វី​
hwat	ពាក្យសំណួរ
htap	copula
hpat	មនុស្ស
nyan	បុរស
hkas	អាចធ្វើបាន
tcan	ផ្សេងទៀត
hnuc	លេខ
twit	កម្រិតពោលអះអាងការពារខ្លួនឫ
hsak	បរិបទពេល
htuk	ករណីខាងសាច់ឈាម
htun	តែ
htum	អារម្មណ៍ហ៊ត
hyip	ទិដ្ឋភាពឡើងវិញ
hlit	អារម្មណ៍ដោយឆន្ទះ
pcic	ត្រូវតែ
tyut	ពីរ
hsat	មើលឃើញ
hkut	បានដឹងថា
hcic	ចុះ
hcap	បន្ទាប់ពី
hpam	ដំបូង
hlac	កម្មសិទ្ធិអន្ដោប្រវេសន៍
hkap	មិនដែល
hnic	ការកាន់កាប់មិនអាចលុបបំបាត់បាន
tyat	អាយុ
tcit	អារម្មណ៍ការពិចារណា
tcin	ថ្ងៃ
hlam	មក
hwak	ស្រៈ
hkin	ចូលទៅ
lwak	ករណីPerl
hpip	ទិដ្ឋភាពរីកចម្រើន
lyan	ជាយូរមកហើយ
hsac	បាននិយាយថា
kyan	របៀប
htas	ជាថ្មីម្តងទៀត
hsic	នៅទីនេះ
hcik	គិត
hcak	ស្ថិតក្រោមបរិបទ
hfan	បានរកឃើញ
hsun	ដៃ
hyac	ផងដែរ
nwan	វ័យក្មេង
tyit	ប្រឆាំងនឹង
tlan	ព្រះ
twak	ករណីdelative
hmin	គ្មានអ្វី
hyas	ម្តង
hlap	ទិដ្ឋភាពsemelfactive
kcac	ចាកចេញ
hyic	ឃើញ
hcas	ផ្ទះ
hwac	ពិភពលោក
tyin	បី
hnun	neo
hcuk	ការផ្តោត
pyan	ស្រលាញ់
hsis	តែងតែ
hyam	យប់
hyap	ស្តេច
hkic	រវាង
hmas	ចិត្ត
cyit	បេះដូង
pluc	ចំនួនpaucal
kyik	ដោយសារតែ
ksak	ករណីធ្វើអោយ
tcun	ធ្វើ
hnim	ឈ្មោះ
tsan	នាមត្រឹមត្រូវ
klac	ប្រទេស
hpun	សួរថា
cyat	ភ័ស្តុតាងដែលអាចមើលឃើញ
pcac	ល្អប្រសើរជាងមុន
hmac	ឱកាស
hnas	មិនអាច
hwic	ទឹក
twim	អារម្មណ៍desiderative
kwan	ពន្លឺ
tlat	ពាក្យ
tyan	ទ្វារ
hsas	ព្រឹក
syat	រហូតដល់
twik	ករណីស្ថានីយ
hpit	ពណ៌ស
pcan	ប្រាក់
hyis	ជនក្រីក្រ
mwan	ការស្លាប់
hfam	ទម្រង់បែបបទ
nwik	ករណីinessive
kcat	ជាមួយគ្នា
tsac	ជាញឹកញាប់
pyat	មិត្តភក្តិ
psan	ពាក់កណ្តាល
hpim	អារម្មណ៍ការចាំបាច់
hyuc	ជុំ
hfat	ដែលបានផ្ញើ
hcis	ប្រពន្ធ
kcan	ជឿ
hsik	សាធារណៈ
htus	បរិបទរបស់រដ្ឋ
hpas	បានកូនប្រុស
clat	កុមារ
tyak	ដូច្នេះ
cwan	សង្ឃឹម
syin	ជាទីស្រឡាញ់
hkuc	ខ្ពស់
tyac	អាន
syit	ទីក្រុង
hlic	រួចទៅហើយ
hfit	ភ័ស្តុតាងfactive
tcac	ក្មេងស្រី
hcun	ស្ដាប់
ksan	យ៉ាងហោចណាស់មាន
hyaf	ប្រហែលជា
kyat	ជា​ការ​ពិត
tcic	រាងកាយ
hwit	ត្រឡប់មកវិញ
cwat	ខ្យល់
hfaf	ច្បាប់
hput	ជួយ
lyat	លិខិត
ksas	បួននាក់
hpic	អារម្មណ៍optative
hfuk	ភ្លើង
hcam	ម៉ោង
twat	សង្រ្គាម
kyak	ជាច្រើន
tlit	ជាលើកទីពីរ
pcin	នៅពីក្រោយ
hmut	ការបាត់បង់
clan	ពាន់
hfac	ក្រុមគ្រួសារ
twan	ព្រលឹង
hwas	សំណួរ
syan	សេចក្តីពិត
htis	ការធ្វើ
tsat	អារម្មណ៍សក្តានុពល
lwik	ករណីallative
nyin	យែនឌ័រanthropic
hfak	ប្រាំនាក់
tcak	សញ្ញាសម្គាល់ប្រធានបទដូចគ្នា
htuc	ប្រធានបទផ្សេងគ្នា
hnap	ចម្លើយ
hmit	សមុទ្រ
hcuc	ការភ័យខ្លាច
pcat	យល់ដឹង
syas	លក្ខខណ្ឌ
hcaf	ការសង្ស័យ
twut	អារម្មណ៍dubitative
hkis	ខ្មៅ
tlak	នាំយក
hyus	ស្រស់ស្អាត
nyit	ការតម្រៀប
htip	ទាំងដប់
ksis	រឿង
hpuk	សៀវភៅ
hlin	អេឡិចត្រូនិ
hkun	គណនី
lyas	អត្រាការប្រាក់
lyit	សរសេរ
pwat	គ្រែ
hnis	អាយុ
hnut	counterfactualលក្ខខណ្ឌ
slas	សិល្បៈ
hwis	ករណីvialis
pyak	បងប្រុស
lyin	បន្ទាត់
tyas	តារាង
hyun	ទន្លេ
kyac	ភ្នែក
tfan	ភ្លាមនោះ
kcin	ជ្រៅ
hmuc	គោលបំណង
cyac	ឈាម
hmap	កើនឡើង
tlin	ជំងឺផ្តាសាយ
hyif	ទៅមុខ
tyam	ចុង
hnaf	ឧបមាថា
hkip	ជិត
myan	របស់ខ្ញុំ
tsin	ចំណេះដឹង
hkup	ច្បាប់ចម្លង
hsam	ប្តី
hlis	ប្រាំមួយ
cwit	កំពុង​រស់នៅ
cyan	សន្តិភាព
myat	ចងចាំ
tyic	ធម្មជាតិ
hfut	ធ្លាក់ចុះ
swas	សេវាកម្ម
hsap	លើកលែងតែ
pcit	សិទ្ធិអ្នកនិពន្ធ
hyim	កងទ័ព
kyas	សេះ
plic	នាពេលអនាគត
pcak	ភាគខាងលិច
hpis	បង់ប្រាក់
hyuk	ក្រហម
hwun	មាស
twin	បំណងប្រាថ្នារបស់
plan	លេង
hpus	ការិយាល័យ
syun	រដ្ឋាភិបាល
kyic	ព្រះវិហារ
htaf	កម្លាំង
hlun	ប្រវែង
kyin	ក្រុមហ៊ុន
kyis	ក្រដាស
mlan	ប្រូបាប
hcim	ពិសេស
cyas	សូមថ្លែង
twac	បង្អួច
nyat	សម្រស់
hcus	ក្រោយមកទៀត
htup	កាតព្វកិច្ច
htif	ចម្ងាយ
pyas	ជើង
hlas	ព្រៃ
ksin	បៃតង
hmaf	បញ្ហា
myac	ស្នាមញញឹម
hsim	ការដេក
kyit	undefined
kwik	ករណីquot
fwan	ដំណើរទស្សនកិច្ច
slan	តាម
psit	វត្តមាន
hmic	ផ្អែម
hmuf	មាត់
hfin	សម្បូរបែប
tcam	សត្រូវ
psuk	ខូច
kcap	នាវា
pwan	មនុស្សម្នាក់ដែលរួមបញ្ចូល
hfic	ឥទ្ធិពល
tcuc	លេចឡើង
hkim	សម្ងាត់
pyin	សូម
pwit	អារម្មណ៍precative
pyit	ចុះឈ្មោះគួរសម
cwak	អាក្រក់
myak	ការហែក្បួន
tcas	កន្លែង
hlaf	ស្នាក់នៅ
psat	ជំនួស
nlan	ខៀវ
psac	មិនអាចទៅរួចនោះទេ
kcuk	សាលារៀន
kcit	បាន​រៀបការ
kcak	អាហារ
syis	ម្ភៃ
tlac	ស្ងប់ស្ងាត់
hcip	ទិដ្ឋភាពអនាគត
kwin	ការផ្តល់
tsit	បានបញ្ឈប់
pyac	ភាសា
hsus	សប្តាហ៍
hcup	សាល
cyap	ឆ្ងល់
tfin	កើត
fyat	តុលាការ
hnip	ទិដ្ឋភាពgnomic
tsak	ការគោរព
tlas	មានតំលៃ
syuc	ដើមឈើ
plat	ជញ្ជាំង
cyak	ស្ថានបរមសុខ*
twip	ទិដ្ឋភាពinchoative
mlat	ពាក្យបញ្ជា
swit	អារម្មណ៍jussive
mwas	ខែ
hwaf	ល្អឥតខ្ចោះ
tyap	បទពិសោធ
ksac	កាលៈទេសៈ
syac	ស្រស់
hnuk	អ្នកឧកញ៉ា
kwak	គ្របដណ្តប់
tyuk	ខាងកើត
pwac	ដុំថ្ម
hkif	សេចក្តីថ្លៃថ្នូរ
nyac	ទិសដៅ
cyis	ប្រធាន
tyuc	រង់ចាំ
tsun	ភូមិ
tyik	យល់ព្រម
hnum	អារម្មណ៍បណ្ដែតបណ្ដោយ
slak	ភាពជោគជ័យ
tsic	ការព្យាយាម
slat	ភ្នំ
hmik	តន្ត្រី
hkus	យំ
hsip	ចំនួនប្រាំពីរ
hpaf	ឯកជន
nwas	ដំណឹង
tfac	កន្លែងកើតហេតុ
fyan	សួន
cwas	ចាប់ផ្តើម
hfik	ករណីបែងចែក
lyac	រៀន
syik	នយោបាយ
clin	Henry
cyin	ការកុហក
tsas	បោះ
cyik	អាជ្ញាធរមាន
tlap	ជាន់
cyam	នៅរដូវក្តៅ
tcut	សាសនា
tcap	រត់គេចខ្លួន
hlut	អ្នកនិពន្ធ
pyun	ត្នោត
tcuk	ការឈឺចាប់
swan	និទាឃរដូវ
hmun	ទន់
kyun	ជ្រុង
nyak	យីហោ
tsis	តុលាការ
psas	បង្កើត
cyaf	សើច
hwut	ភ្លេច
hyup	អឺរ៉ុប
hwap	ប្រាំបី
psak	ការស្លាប់
kyap	គួរឱ្យខ្លាច
pyic	បានទាមទារ
hmim	មធ្យម
hsaf	ដកដង្ហើម
hmis	ប្រាជ្ញា
hsum	សញ្ញាសម្គាល់ម្ចាស់
ksat	រីករាយ
ksit	ផ្នូរ
tsap	កោះ
kyam	ការបោះជំរុំ
tcum	ប៉ះ
cyun	សំណាង
psic	ច្រាំង
tyun	ដែន
mwit	អារម្មណ៍គណៈកម្មាការ
tlut	សញ្ញាបត្រ
myit	រដូវរងារ
kfan	ការប្រព្រឹត្ដ
slac	កំពុងរត់
myin	នាទី
tyip	នាំ
klas	កញ្ចក់
pfat	ក្រុមប្រឹក្សាភិបាល
cyic	ការឥតប្រយោជន៍
swam	កិច្ចការ
syam	សុវត្ថិភាព
tsut	គ្រូពេទ្យ
hlip	ទិដ្ឋភាពទាំងស្រុង
kcas	ភាពងងឹត
nyun	ក្តៅ
hpuc	ភេសជ្ជៈ
tlam	ឧទាហរណ៍
hfun	កំហឹង
tsik	ថ្វីបើ
tsam	ដោយ​ផ្ទាល់
hmup	មួក
klak	ឆ្កែ
slin	ប្រាក់
swac	ជាអ្នកបម្រើ
kcam	មោទនភាព
pyik	រថភ្លើង
myut	តម្រា
syak	ចូល
swat	ដាវ
kyuk	ការវាយប្រហារ
clac	សុខភាព
tyaf	កថាខណ្ឌ
swic	នៃ​សង្គម
tfit	ការបង្វិលសងប្រាក់
hkaf	មន្ត្រី
pcas	glanceមួយ
nyam	សិរីរុងរឿង
tfat	ទាំងដប់ពីររូប
pcut	ចូលរួម
pwin	ស្រា
mwat	រសជាតិ
fyac	ជាតិដែក
syap	ចែកចាយ
myap	ពាណិជ្ជកម្ម
hyum	ការប្រើ
fwak	ចៅក្រម
klat	ប្រធានក្រុម
twap	ទិដ្ឋភាពcessative
kcic	ចង់ដឹងចង់ឃើញ
kwic	បរទេស
hnif	ពង្រីកកាន់
myun	សារៈសំខាន់
tlic	ទីបំផុត
cyuk	ក
syut	សេរីភាព
pfan	ភាគី
kyuc	ស្ងួត
pcap	ឡែក
tfak	ភ័ស្តុតាង
tcik	ករណីភ័ស្តុតាង
twun	ឆ្ងាយ
tyis	ការរីកចំរើន
nyap	តូចចង្អៀត
plit	អគារ
hpif	ទំព័រ
pwic	ការកាន់
syic	ការសោកស្តាយ
tsip	អំពើបាប
syim	ឈឺ
tcis	មានភាពស្មោះត្រង់
pcun	ធនាគារ
ksap	ទទួលយក
lyam	ស្ទ្រីម
tcaf	ដោយប្រុងប្រយ័ត្ន
kwac	ត្រចៀក
hpup	នំបុ័ង
kcut	ជ្រើសយក
nwam	សត្វ
hsup	យែនឌ័រzoic
nwit	អារម្មណ៍ព្រឹត្តិការណ៍
tcim	សញ្ញាសម្គាល់ព្រឹត្តិការណ៍ដូចគ្នា
tlik	ករណីគុណ
kyus	ឆ្លងកាត់
hmus	ក្រាស់
kfat	ហ៊ាន
nwat	កើនឡើង
myic	ភ្លៀងធ្លាក់
hpum	ផ្ទៃ
swut	បរិសុទ្ធ
clis	ខែកក្កដា
mwun	ម៉ូដ
hfas	ឯកសារ
cwac	ស្មា
kwat	ការលួងលោម
nwac	នរណាម្នាក់
tcip	ចង់បាន
kfac	ស្មៅ
hmuk	គូរ
plin	ការបើក
kwun	ខែមិថុនា
mlik	ត្រី
klin	រដ្ឋធានី
pfut	សុដន់
twam	ពាក្យបណ្តឹង
fyin	ការចំណាយ
nlit	របស់​អ្នក
mlin	លាននាក់
pyut	អធិស្ឋាន
hluk	ធុញទ្រាន់
ksut	សម្លាប់
cyut	ស្រមោល
psin	ទំងន់
kcis	ប្រផេះ
pyam	ក្លាហាន
mwac	ពេញចិត្ត
klam	ប្រាប់
ksam	ជាតិ
hfip	ការចុះខ្សោយ
klik	ជ្រលងភ្នំ
hkum	អារម្មណ៍ប្រថុយប្រថាន
clas	លឿង
cyuc	កំដៅ
mlac	នៅសល់
syip	ស្មើភាពគ្នា
pwak	ប្រអប់
tcif	ស្រួច
psip	គោលការណ៍
ksik	លទ្ធផល
tsim	រដូវកាល
flan	អ្នកវិទ្យាសាស្រ្ត
pcam	ជាក់ស្តែង
kcun	ធុញ
ksuk	ពូ
mlit	បញ្ជី
pcik	គ្រោះថ្នាក់
kwas	ខែសីហា
hluc	ពេញនិយម
klit	មិន​ស្គាល់
flak	ស៊ាំ
fyit	ការចុះបញ្ជីស៊ាំ
lwat	កម្មវិធីអាន
plun	ការដើរ
twas	ពីរដង
pcis	លោកបូជាចារ្យ
fyas	រងរបួស
nlat	ព្រះបរមរាជវាំង
myuk	បន្លំភ្នែក
pfak	អនុគ្រោះ
tcuf	ប្រាំបួន
cwap	ការអាណិតអាសូរ
plac	ផ្ទុះ
pyap	ដាក់
lyic	ការស្លៀកពាក់
hcum	សំលេងរំខាន
lwit	អក្សរសាស្រ្ត
tsuk	ឋានៈ
hfup	ព្យុះ
kcik	ហោប៉ៅ
nwap	ខែវិច្ឆិកា
tyim	ខែធ្នូ
psaf	អវត្តមាន
nlac	ចំនួនប្រជាជន
kyaf	សូមអរគុណ
slis	ស៊េរី
pyaf	បក្សី
mlak	ម្ចាស់
kwut	អាវធំ
hwuc	ទំនាក់ទំនង
pyis	យ៉ាងឆាប់រហ័ស
twuc	ផ្សែង
nwak	ខែមករា
mlic	ម៉ាស៊ីន
tlis	ធ្មេញ
ksun	ការដុត
clam	ការខ្មាស់អៀន
klaf	គុណភាព
clit	ចិញ្ចៀន
fyak	ឃ្លា
fyam	សញ្ញាសម្គាល់ឃ្លា
kwap	ការ៉េ
hwip	ថ្ងៃអាទិត្យ
psis	កំណាព្យ
pwut	undefined
kyim	ទិញ
clic	វាល
pyip	ខែមេសា
kfap	ខែតុលា
psut	វត្ថុ
kcuc	ជូរចត់
nlap	ទាសករ
hsok	រលុង
htet	អត្ថបទ
hbat	អាក្រក់បំផុត
hrit	ឥណទាន
hzit	លក្ខណៈពិសេស
hpet	ដប់ប្រាំ
krac	សាហាវ
hduc	ធូលីដី
hrik	ជាក់ស្តែង
hron	ប៍ន
hnus	ច្រមុះ
hric	មិត្តភាព
srik	ផ្គត់ផ្គង់
hten	កាលពីម្សិលមិញ
tlet	hesternalតានតឹង
slap	បរាជ័យ
hban	ពាក់
hdat	ពិការភ្នែក
fran	ការហោះហើរ
hdan	មារ
htec	ជាបណ្តើរ
hmon	បេសកកម្ម
cran	ការលះបង់
hran	មនសិការ
hmos	លោករដ្ឋមន្រ្តី
nrit	ថាមពល
hcet	ស្អប់
hset	កណ្តាល
hrin	យែនឌ័រសមហេតុផល
hcot	រីករាយជាមួយ
hrip	សង្ខេប
htep	គោរពបូជា
hcif	ស្បែក
hrat	ដំបូល
kran	ភ្នំពេញក្រោន
hkon	ប្រាសាទ
tran	ភាពអស់សង្ឃឹម
hmif	ម៉ាយ
trin	រង្វង់
hgin	គុក
hkop	ពែង
hcen	សមាជិក
swin	ស៊ីវិល
hrac	នៅគ្រប់ទីកន្លែង
hris	ផ្ទាល់ខ្លួន
hbin	ការក្លាយខ្លួន
hmot	សាច់
hdut	ទឹកដោះគោ
hwen	យែនឌ័ររុក្ខជាតិ
nran	កម្រ
hbac	បងប្អូនជីដូនមួយ
crut	ស្ពាន
hsoc	ភាគហ៊ុន
hsom	អំបិល
nris	គ្មានកំហុស
hbit	ជៀសវាង
