ni	məsdər
na	adlıqhal
ka	accusativecase
ta	mövzuişi
ca	Salam
wu	seslenmeişi
kcah	ac
ti	yiyəlikhal
ci	sifət
wa	və
mi	mən
sa	Sən
nyah	us
ya	o
ma	təyinatişi
yi	dativeişi
li	realəhval
tu	deonticəhval
cu	şərtiəhval
si	epistemikəhval
yu	instrumentalişi
nu	daxilikontekstində
pa	şəxskontekstində
tyah	müstəqilMaddə
la	asılıbənddə
fa	Perfectiveaspekt
ki	keçmişzaman
ne	kişigender
mwah	comitativeişi
ra	indikizaman
pwah	benefactiveişi
swih	essiveişi
no	negatorykvantifikatoru
pi	yerüstükontekstində
da	adpositionalişi
te	yeriişi
to	spacekontekstində
ga	yolişi
ri	sualəhval
ba	vəya
ku	xüsusivəya
so	mənbəişi
pwih	ablativeişi
ksah	yaxınlıq
tsah	nümayişkaranə
ko	Maddəquyruq
pyah	Amma
wi	universalkvantifikatoru
ji	qadıngender
pu	cəm
bi	gələcəkzaman
co	sosialkontekst
me	imperfectiveaspekt
klah	orada
twah	elativeişi
twih	illativeişi
di	direktivəhval
tlah	seçkilikvantifikatoru
kyah	nə
tcah	sualsöz
ja	copula
cyah	şəxs
clah	digər
do	nömrə
tlih	iddialıkvantifikatoru
se	vaxtkontekstində
myah	müvəqqətihal
tyuh	yalnız
tcih	teşvikediciəhval
tyih	retrospektivaspekt
lo	Volitiveəhval
cwah	sonra
nlah	özgəninkiləşdiriləsahiblik
nlih	ayrılmazsahiblik
cyih	məşvərətçiəhval
lwah	perlativeişi
pfih	mütərəqqiaspekt
tsih	burada
ce	kontekstindəaltında
pcah	həmçinin
lwih	delativeişi
swah	semelfactiveaspekt
nyih	neo
fu	focus
plah	sevgi
po	paucalsayı
kyih	çünki
ksih	causalişi
gi	ad
tfah	xüsusiisim
crih	görünənsübut
kceh	yaxşı
dwih	desiderativeəhval
wo	söz
srah	qədər
tweh	terminativeişi
nwih	inessiveişi
pcih	vacibəhval
crah	inanmaq
ro	dövlətkontekstində
cwih	ümid
kwih	factivesübut
fi	qayıtmaq
psih	istekbelirtenəhval
tseh	potensialəhval
lweh	allativeişi
nrih	anthropicgender
tceh	Eynimövzumarker
re	müxtəlifmövzu
croh	qorxu
mrah	anlamaq
cyuh	şübhə
twuh	dubitativeəhval
myih	gözəl
lyih	maraq
flah	şərticounterfactual
we	vialisişi
clih	soyuq
pyih	sülh
su	istisnaolmaqla,
kwah	arzu
le	uzunluq
bo	ehtimal
