ni	తుమర్థం
na	విభక్తికేసు
ka	నిందారోపణకేసు
ta	విషయంకేసు
ca	హలో
wu	సంభోదనావిభక్తికేసు
kcah	ఆకలితో
ti	షష్ఠీకేసు
ci	విశేషణంగా
wa	మరియు
mi	నాకు
sa	మీరు
nyah	మాకు
ya	ఇది
ma	గమ్యంకేసు
yi	చతుర్ధీవిభక్తికేసు
li	నిజమైనమూడ్
tu	deonticమూడ్
cu	నియతమూడ్
si	జ్ఞానాన్వేషణలక్షణమూడ్
yu	వాయిద్యకేసు
nu	అంతర్గతసందర్భం
pa	వ్యక్తిసందర్భం
tyah	స్వతంత్రనిబంధన
la	ఆధారపడినిబంధన
fa	సంపూర్ణకారక
ki	గతకాలం
ne	పురుషలింగ
mwah	comitativeకేసు
ra	ప్రస్తుతంకాలం
pwah	benefactiveకేసు
swih	essiveకేసు
no	negatoryగణనకర్త
pi	ఉపరితలసందర్భం
da	adpositionalకేసు
te	నగరకేసు
to	స్థలంసందర్భం
ga	మార్గంకేసు
ri	interrogativeమూడ్
ba	మరియులేదా
ku	ప్రత్యేకలేదా
so	మూలంకేసు
pwih	పంచమీకేసు
ksah	సామీప్యత
tsah	తావు
ko	నిబంధనతోక
pyah	కానీ
wi	సార్వత్రికగణనకర్త
ji	స్త్రీలింగ
pu	బహువచనంసంఖ్య
bi	భవిష్యత్తుకాలం
co	సామాజికసందర్భం
me	అసంపూర్ణకారక
klah	అక్కడ
twah	సంబంధితకేసు
twih	చట్టవ్యతిరేకమైనకేసు
di	నిర్దేశకంమూడ్
tlah	ఎన్నికగణనకర్త
kyah	ఏమి
tcah	ప్రశ్నపదం
ja	కలుపుసన్నటిఅవయవకణజాలము
cyah	వ్యక్తి
clah	ఇతర
do	సంఖ్య
tlih	దృఢమైనగణనకర్త
se	సమయంసందర్భం
myah	తత్కాలకేసు
tyuh	మాత్రమే
tcih	hortativeమూడ్
tyih	పునరావృత్తకారక
lo	volitiveమూడ్
cwah	తరువాత
nlah	పరసతమయ్యేస్వాధీనం
nlih	శాశ్వతస్వాధీనం
cyih	డెలిబరేట్మూడ్
lwah	perlativeకేసు
pfih	ప్రగతిశీలకారక
tsih	ఇక్కడ
ce	కిందసందర్భం
pcah	కూడా
lwih	delativeకేసు
swah	semelfactiveకారక
nyih	నయా
fu	దృష్టి
plah	ప్రేమ
po	paucalసంఖ్య
kyih	ఎందుకంటే
ksih	కారణకేసు
gi	పేరు
tfah	సరైననామవాచకం
crih	కనిపించేప్రామాణిక
kceh	మంచి
dwih	desiderativeమూడ్
wo	పదం
srah	వరకు
tweh	పురియగునట్టికేసు
nwih	inessiveకేసు
pcih	అత్యవసరంమూడ్
crah	నమ్మకం
ro	రాష్ట్రసందర్భం
cwih	ఆశిస్తున్నాము
kwih	factiveప్రామాణిక
fi	తిరిగి
psih	ఆశీరార్థకమైనమూడ్
tseh	సంభావ్యమూడ్
lweh	allativeకేసు
nrih	సంబంధలింగ
tceh	అదేవిషయంమార్కర్
re	వివిధవిషయం
croh	భయం
mrah	అర్థం
cyuh	సందేహం
twuh	dubitativeమూడ్
myih	అందమైన
lyih	వడ్డీ
flah	ప్రతికూలించునియత
we	vialisకేసు
clih	చల్లని
pyih	శాంతి
su	మినహా
kwah	కోరిక
le	పొడవు
bo	సంభావ్యత
mlah	ఇబ్బంది
syah	స్మైల్
slih	నిద్ర
zi	కోట్
twoh	quotativeకేసు
mo	కలుపుకొనివ్యక్తి
kcih	దయచేసి
rwih	precativeమూడ్
mrih	మర్యాదనమోదు
rwah	కాబోయేకారక
cyeh	ఆశ్చర్యానికి
go	నీతిశ్లోకముచెప్పేకారక
tsoh	గౌరవం
za	inchoativeకారక
jwih	jussiveమూడ్
mwih	అనుమతులిచ్చేమూడ్
sloh	విజయం
prih	ప్రైవేట్
de	పంపిణీకేసు
tcoh	నొప్పి
ryah	నవ్వుల
mlih	తెలివైన
