ni	bezokolicznik
na	mianownikowysprawa
ka	bierniksprawa
ta	tematsprawa
ca	Halo
wu	wołaczsprawa
kcah	głodny
ti	dopełniaczsprawa
ci	przymiotnik
wa	i
mi	mnie
sa	ty
nyah	nas
ya	ono
ma	celsprawa
yi	celowniksprawa
li	realishumor
tu	deontycznahumor
cu	warunkowyhumor
si	epistemicznahumor
yu	instrumentalnysprawa
nu	wnętrzekontekst
pa	osobakontekst
tyah	niezależnaklauzula
la	zależnyklauzula
fa	perfektywnyaspekt
ki	przeszłośćczas
ne	rodzajmęskipłeć
mwah	comitativesprawa
ra	obecnyczas
pwah	benefactivesprawa
swih	essivesprawa
no	przeczącykwantyfikator
pi	powierzchniakontekst
da	adpositionalsprawa
te	Lokalizacjasprawa
to	przestrzeńkontekst
ga	drogasprawa
ri	badawczyhumor
ba	ilub
ku	Ekskluzywnyalbo
so	źródłosprawa
pwih	narzędniksprawa
ksah	bliskość
tsah	wskazujący
ko	Klauzulaogon
pyah	ale
wi	uniwersalnykwantyfikator
ji	kobiecypłeć
pu	liczbamnoganumer
bi	przyszłośćczas
co	społecznykontekst
me	niedokonanyaspekt
klah	tam
twah	krewnysprawa
twih	illativesprawa
di	dyrektywahumor
tlah	obieralnykwantyfikator
kyah	co
tcah	pytaniesłowo
ja	spójka
cyah	osoba
clah	inne
do	numer
tlih	stanowczykwantyfikator
se	czaskontekst
myah	czasowysprawa
tyuh	tylko
tcih	hortativehumor
tyih	zmocąwstecznąaspekt
lo	volitivehumor
cwah	po
nlah	przenośnyposiadanie
nlih	niezbywalnyposiadanie
cyih	obradującyhumor
lwah	perlativesprawa
pfih	progresywnyaspekt
tsih	tutaj
ce	podkontekst
pcah	również
lwih	delativesprawa
swah	semelfactiveaspekt
nyih	neo
fu	skupiać
plah	miłość
po	paucalnumer
kyih	bo
ksih	przyczynowysprawa
gi	imię
tfah	właściwyrzeczownik
crih	widocznydowodowy
kceh	lepiej
dwih	desiderativehumor
wo	słowo
srah	ażdo
tweh	terminativesprawa
nwih	inessivesprawa
pcih	trybrozkazującyhumor
crah	uwierzyć
ro	stankontekst
cwih	nadzieja
kwih	factivedowodowy
fi	powrót
psih	życzącyhumor
tseh	potencjałhumor
lweh	Allativussprawa
nrih	antropicznypłeć
tceh	takiesamePrzedmiotznacznik
re	innyPrzedmiot
croh	strach
mrah	rozumiesz
cyuh	wątpić
twuh	dubitativehumor
myih	Pięknie
lyih	zainteresowanie
flah	alternatywęwarunkowy
we	Vialissprawa
clih	zimno
pyih	pokój
su	oprócz
kwah	pragnienie
le	długość
bo	prawdopodobieństwo
mlah	problem
syah	uśmiech
slih	sen
zi	zacytowany
twoh	quotativesprawa
mo	włącznieosoba
kcih	proszę
rwih	precativehumor
mrih	uprzejmyzarejestrować
rwah	spodziewanyaspekt
cyeh	cud
go	gnomicznyaspekt
tsoh	poszanowanie
za	inchoativeaspekt
jwih	jussivehumor
mwih	dozwalającyhumor
sloh	sukces
prih	prywatny
de	dystrybucyjnysprawa
tcoh	ból
ryah	śmiaćsię
mlih	mądry
ye	zaborczyznacznik
ke	commissivehumor
